20.9,22.1,3.0,1000.7
21.2,27.6,9.0,1005.9
21.4,27.4,16.0,1004.5
22.3,29.3,7.0,1011.9
21.3,31.0,0.0,1003.9
21.2,20.7,2.0,1006.2
21.4,23.3,0.0,1022.3
21.0,29.3,2.0,1013.6
21.3,24.4,65531.0,1012.5
22.4,29.3,18.0,1016.9
22.0,28.1,0.0,1016.4
21.4,23.5,65531.0,1022.5
22.1,30.2,21.0,1013.4
22.6,30.5,17.0,1012.7
21.1,26.9,3.0,1004.9
22.4,28.8,16.0,996.7
21.2,29.1,3.0,1013.7
21.3,29.8,9.0,1010.0
21.6,30.0,2.0,1013.5
22.1,28.3,1.0,1016.6
21.4,33.8,0.0,989.5
21.6,23.1,0.0,1022.1
21.3,26.6,2.0,1013.0
21.4,30.1,13.0,1006.6
22.5,30.2,17.0,1012.7
21.7,27.8,0.0,1016.0
21.4,23.3,1.0,1022.3
20.9,27.6,0.0,1005.4
21.1,21.9,1.0,1004.2
21.1,31.7,2.0,1008.5
21.1,27.3,1.0,1012.6
21.0,27.4,1.0,1012.5
22.1,28.5,22.0,1004.6
21.4,23.3,0.0,1022.5
21.5,29.9,1.0,1013.7
22.5,30.8,15.0,1011.1
21.3,30.7,2.0,1007.0
21.3,31.6,3.0,1006.4
21.6,28.9,65531.0,1007.7
22.0,23.9,29.0,1019.9
21.2,20.6,2.0,1006.4
21.7,28.9,2.0,1012.5
21.7,22.4,25.0,1020.8
20.9,22.1,3.0,1000.7
21.8,26.9,2.0,1007.2
20.9,25.3,1.0,1003.2
21.4,30.9,2.0,1007.1
21.2,26.7,2.0,1004.6
21.4,30.1,13.0,1006.6
20.9,29.3,2.0,1013.9
21.2,26.7,1.0,1004.8
21.3,25.9,8.0,1004.6
21.8,29.6,2.0,1012.7
21.7,22.0,20.0,1021.2
20.9,25.6,2.0,1003.6
21.4,31.1,3.0,1006.2
21.6,27.5,0.0,1013.4
21.3,25.8,7.0,1004.6
21.4,23.9,1.0,1004.1
21.4,31.3,2.0,1007.0
22.2,34.2,18.0,990.2
21.3,27.6,2.0,1013.1
21.8,24.1,2.0,1004.9
22.3,26.7,17.0,1006.2
22.3,29.8,17.0,1012.2
21.5,27.5,0.0,1012.5
22.8,23.6,20.0,1018.2
22.1,26.8,16.0,1007.0
21.3,23.4,0.0,1022.2
21.3,33.3,0.0,988.9
22.4,21.5,23.0,1009.5
21.7,24.1,2.0,1005.0
21.1,32.7,0.0,990.2
22.3,27.8,21.0,1005.1
21.3,31.2,65531.0,1001.3
21.4,29.9,13.0,1006.5
21.6,30.1,2.0,1013.4
22.0,28.1,0.0,1016.4
20.9,25.6,2.0,1003.6
21.2,26.9,5.0,1005.3
21.4,30.1,13.0,1006.5
21.4,30.2,1.0,1013.7
22.3,32.0,18.0,993.9
20.6,23.7,2.0,1012.0
21.0,29.3,2.0,1013.5
22.0,22.8,0.0,1020.9
21.3,31.1,0.0,1004.4
22.5,27.5,17.0,1005.8
22.0,28.2,0.0,1016.5
21.0,27.4,1.0,1012.4
22.3,32.2,17.0,993.8
21.4,24.1,1.0,1003.7
21.0,31.8,2.0,1008.6
21.5,27.4,0.0,1009.8
21.3,29.1,16.0,1013.7
20.7,24.4,2.0,1012.5
21.3,31.0,3.0,1009.2
21.8,29.8,17.0,1009.5
21.3,20.2,2.0,1006.9
21.5,29.2,18.0,1013.6
22.1,26.7,65531.0,1007.1
21.4,31.2,65531.0,1006.3
22.6,27.8,19.0,1018.9
22.3,27.1,18.0,1005.6
21.4,30.0,1.0,1013.7
21.1,27.3,1.0,1013.0
21.0,23.1,73.0,1011.7
21.2,27.2,1.0,1013.0
21.4,30.8,0.0,1001.7
22.2,26.6,16.0,1006.7
22.3,32.2,18.0,993.6
21.3,27.7,2.0,1013.1
21.1,27.3,1.0,1012.9
21.5,27.0,1.0,1006.7
21.4,31.0,2.0,1007.0
21.2,27.1,1.0,1013.1
22.0,22.5,0.0,1020.9
21.2,26.8,1.0,1004.7
21.6,20.3,6.0,1007.9
22.3,34.8,65531.0,990.5
21.3,29.0,0.0,993.5
