timestamp,PersonCount,Temperature,Humidity,Light,Pressure
1521605815,3,20.9,23.4,0.0,1022.1
1522012378,1,21.3,31.0,2.0,1006.9
1521881788,1,21.3,25.8,7.0,1004.7
1521572725,5,21.8,22.7,0.0,1021.3
1521585145,5,21.4,23.2,0.0,1022.5
1520858451,4,22.3,34.2,17.0,990.5
1522178818,5,21.3,27.1,2.0,1013.1
1520989581,10,21.3,30.9,0.0,1003.3
1520919921,12,20.9,32.7,1.0,989.6
1521024741,16,22.6,29.7,16.0,1010.6
1522191298,5,21.2,27.1,1.0,1013.1
1520998401,10,21.3,31.0,0.0,1004.8
1520895531,7,21.4,33.5,0.0,989.0
1521575455,5,21.7,22.8,0.0,1021.7
1522008388,1,21.4,31.2,2.0,1006.9
1520526864,2,22.5,29.1,15.0,996.4
1521831148,1,21.7,24.1,2.0,1004.9
1522224388,5,22.1,22.0,26.0,1011.3
1521979408,1,21.4,30.0,14.0,1006.5
1521841288,1,21.4,24.1,2.0,1004.5
1521690722,3,21.1,27.3,0.0,1006.9
1522136038,1,21.4,29.1,18.0,1013.6
1521922198,1,21.2,26.7,2.0,1005.3
1521669122,4,21.6,27.5,0.0,1014.1
1521637082,7,22.5,27.9,16.0,1018.8
1521934288,1,21.2,26.7,2.0,1004.7
1521931978,1,21.8,26.0,65531.0,1004.9
1521885328,1,21.3,26.1,9.0,1004.7
1521917338,1,21.1,26.7,2.0,1005.1
1521910618,1,21.2,27.0,2.0,1004.7
1522192858,5,21.1,27.1,1.0,1013.0
1522280278,5,21.0,22.1,1.0,1003.3
1522197178,5,21.1,27.2,1.0,1012.9
1521925198,1,21.2,26.7,2.0,1005.1
1520953221,15,22.1,31.9,16.0,995.4
1521758732,1,21.5,26.9,2.0,1006.8
1521603925,4,21.0,23.3,0.0,1022.3
1521732692,1,22.3,26.7,17.0,1006.3
1521644072,8,22.6,29.9,19.0,1017.5
1521875998,1,21.4,25.6,4.0,1004.2
1521751172,1,21.7,27.0,2.0,1007.5
1521597985,6,21.3,23.4,0.0,1022.1
1521676652,3,21.5,27.4,0.0,1011.4
1522048738,1,21.4,30.4,5.0,1009.9
1521848968,1,21.4,23.9,1.0,1004.1
1522121908,1,20.8,29.4,2.0,1013.5
1521662522,3,21.7,27.6,0.0,1015.0
1520541474,2,21.5,29.0,0.0,996.6
1521820318,1,22.0,24.6,65531.0,1004.8
1521644312,7,22.6,29.9,20.0,1017.5
1522296058,5,20.6,22.3,2.0,1001.1
1521678722,3,21.5,27.4,0.0,1010.7
1520985441,10,21.3,30.8,0.0,1002.4
1521888868,1,21.2,26.2,6.0,1004.7
1521011271,14,21.3,29.1,16.0,1008.3
1521693602,2,20.9,27.7,0.0,1005.8
1522094998,1,21.6,30.0,2.0,1013.4
1522257268,5,21.5,20.2,3.0,1007.2
1522185628,5,21.4,26.8,1.0,1013.0
1521735872,1,22.1,26.7,17.0,1006.0
1522076158,1,22.2,29.5,7.0,1012.0
1522229248,5,22.7,23.1,25.0,1011.3
